724699,"BROOMFIELD/JEFFCO [BOULDER - SURFRAD]",CO,-7.0,40.130,-105.240,1689
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/1987,01:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-7.8,A,7,-11.7,A,7,74,A,7,840,A,7,210,A,7,2.6,A,7,32200,A,7,77777,A,7,0.2,E,8,0.034,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1987,02:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,0,A,7,-8.9,A,7,-13.3,A,7,71,A,7,840,A,7,180,A,7,2.1,A,7,32200,A,7,77777,A,7,0.2,E,8,0.034,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1987,03:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-9.4,A,7,-13.3,A,7,74,A,7,840,A,7,190,A,7,2.1,A,7,32200,A,7,77777,A,7,0.2,E,8,0.034,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1987,04:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,0,A,7,-10.6,A,7,-13.9,A,7,77,A,7,840,A,7,190,A,7,1.5,A,7,32200,A,7,77777,A,7,0.2,E,8,0.034,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1987,05:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,A,7,0,A,7,-10.0,A,7,-14.4,A,7,70,A,7,840,A,7,180,A,7,2.6,A,7,32200,A,7,77777,A,7,0.2,E,8,0.034,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1987,06:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,A,7,0,A,7,-10.0,A,7,-15.0,A,7,67,A,7,840,A,7,160,A,7,2.1,A,7,32200,A,7,77777,A,7,0.2,E,8,0.034,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1987,07:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,7,A,7,2,A,7,-10.6,A,7,-15.0,A,7,70,A,7,840,A,7,170,A,7,2.6,A,7,80500,A,7,77777,A,7,0.2,E,8,0.034,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1987,08:00,37,837,24,1,13,96,1,9,15,1,13,2096,1,13,3224,1,9,1937,1,13,262,1,21,7,A,7,2,A,7,-10.0,A,7,-15.0,A,7,67,A,7,839,A,7,160,A,7,2.1,A,7,80500,A,7,77777,A,7,0.2,E,8,0.030,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1987,09:00,235,1415,119,1,13,438,1,9,45,1,13,12053,1,13,30958,1,9,6879,1,13,799,1,21,7,A,7,2,A,7,-6.7,A,7,-13.9,A,7,57,A,7,839,A,7,170,A,7,2.1,A,7,96600,A,7,77777,A,7,0.2,E,8,0.030,F,8,-9900.000,?,0,-9900,-9900,?,0
01/01/1987,10:00,421,1415,262,1,9,757,1,9,35,1,13,27710,1,9,68104,1,9,7358,1,13,912,1,18,3,A,7,1,A,7,-3.9,A,7,-14.4,A,7,44,A,7,839,A,7,200,A,7,2.1,A,7,112700,A,7,77777,A,7,0.2,E,8,0.030,F,8,-9900.000,?,0,-9900,-9900,?,0
